,PC1,PC2
area,0.34352947534819495,0.1310579293520904
mean_intensity,0.01343055220233913,0.062418457634891705
eccentricity,0.04645748891884649,-0.38334746103924167
perimeter,0.3571347816272642,0.0034664982986561607
major_axis_length,0.3270581147743154,-0.13966568401799978
minor_axis_length,0.2951100975105175,0.237862225470753
convex_area,0.35160254073139274,0.05785313408327943
bbox_area,0.3481258740834519,-0.014588172269315766
equivalent_diameter,0.3470985192649624,0.13201576061464054
extent,-0.051127650429067514,0.4463280014776348
fractal_dimension,-0.23529177318162459,-0.3708236417314201
form_factor,-0.2607401081159732,0.31215500796958084
solidity,-0.03345697599010494,0.4421250184613954
compactness,0.25626589296742064,-0.3244278365716949
